date,laid_off_by_month,funds_raised_by_month,mortgage_rate,unemployment_rate,fed_rate,stock_open,stock_high,stock_low,stock_close,stock_adj_close,stock_volume,education_and_communication_commodities_inflation,education_and_communication_services_inflation,information_technology_commodities_inflation,education_and_communication_commodities_avg_value,education_and_communication_services_avg_value,information_technology_commodities_avg_value,benefits_inflation,total_compensation_inflation,wages_and_salaries_inflation,benefits_avg_value,total_compensation_avg_value,wages_and_salaries_avg_value,bank_credit,securities_in_bank_credit,treasury_agency_securities,other_securities,real_estate_loans,total_assets,currency_sa,demand_deposits_sa,monetary_base_currency_nsa,monetary_base_total_nsa,pct_change_consumer_credit_sa,consumer_credit_owned_securitized_sa,consumer_credit_nonfinancial_owned_nsa,consumer_credit_credit_unions_owned_nsa,Cluster
2020-03-01,7850,15530.2,3.45,4.4,0.65,2974.28,3136.72,2191.86,2584.59,2584.59,162185380000,0.73809231524673,-0.1457648680165291,0.513463248969015,65.649,113.031,49.722,2.215892592396813,1.1451053808573102,1.471280508072235,27.906799999999997,55.555200000000006,51.4954,14368102.5,3985077.0,3144933.4,840143.7,4644663.4,18871518.5,1748.5,1818.5,1838.0,3883.1,-5.52,4205893.06,34720.4,495196.85,2
2020-04-01,19821,43862.0,3.306,14.8,0.05,2498.08,2954.86,2447.49,2912.43,2912.43,123608160000,0.3457783058386399,-0.007077704346603,0.1890511242508274,65.876,113.023,49.816,0.5529561888558021,-0.1770956316410887,-0.2418645558487253,23.64,50.73,45.37,14771533.3,3992619.9,3139700.4,852919.4,4666335.4,19952674.8,1782.1,2019.2,1891.3,4844.9,-18.15,4142276.28,34682.16,491526.93,2
2020-05-01,14674,74191.0,3.2325,13.2,0.05,2869.09,3068.67,2766.64,3044.31,3044.31,107135190000,-0.2261825247434568,0.0017695513302662,-0.5058615705797354,65.727,113.025,49.564,0.5529561888558021,-0.1770956316410887,-0.2418645558487253,23.64,50.73,45.37,14846104.9,4015597.0,3166772.7,848824.3,4666886.5,20192786.2,1818.2,2131.8,1931.8,5149.4,-5.37,4123726.83,34833.23,492108.55,2
2020-06-01,3926,11724.1,3.1625,11.0,0.08,3038.78,3233.13,2965.66,3100.29,3100.29,131458880000,-2.0356930941622275,-0.1619110816191149,-0.4640464853522652,64.389,112.842,49.334,0.5529561888558021,-0.1770956316410887,-0.2418645558487253,23.64,50.73,45.37,14856492.0,4154854.7,3284901.4,869953.3,4670624.4,20095653.4,1852.7,2220.4,1958.3,5001.8,4.33,4138607.19,34925.07,498296.05,2
2020-07-01,1612,4447.0,3.016,10.2,0.09,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000,-0.4628119709888412,1.083816309530139,-0.2249969595005563,64.091,114.065,49.223,0.3807106598984866,1.064458900059151,1.0138858276394158,23.73,51.27,45.83,14890339.6,4282516.7,3391101.5,891415.2,4691977.2,19928324.5,1881.9,2262.8,1981.7,4700.3,4.87,4155392.51,34909.68,501791.49,2
2020-08-01,1456,765.0,2.935,8.4,0.1,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000,0.2153188435193742,0.4400999430149488,0.0325051297157763,64.229,114.567,49.239,0.3807106598984866,1.064458900059151,1.0138858276394158,23.73,51.27,45.83,14910056.7,4372152.2,3479649.6,892502.6,4689712.1,19996725.2,1908.7,2292.1,2007.6,4807.4,-1.57,4149938.58,35094.51,501483.77,2
2020-09-01,567,865.8,2.89,7.8,0.09,3507.44,3588.11,3209.45,3363.0,3363.0,92310780000,-1.0400286474956832,0.2321785505424722,-3.0199638497938497,63.561,114.833,47.752,0.3807106598984866,1.064458900059151,1.0138858276394158,23.73,51.27,45.83,14926182.5,4439695.1,3537329.5,902365.6,4684627.6,20062079.8,1928.3,2413.2,2027.5,4880.3,4.39,4165136.21,35086.79,503870.02,2
2020-10-01,110,2552.5,2.834,6.8,0.09,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000,-0.7882191910133507,0.1811326012557401,-0.8313787904171699,63.06,115.041,47.355,1.432785503581968,-4.2519992198166605,-3.142046694305034,24.07,49.09,44.39,14942227.1,4529574.1,3607276.1,922298.0,4681193.3,20120527.0,1945.4,2435.4,2040.5,4917.1,1.24,4169450.62,35139.24,503925.48,2
2020-11-01,237,607.4,2.765,6.7,0.09,3296.2,3645.99,3279.74,3621.63,3621.63,101247180000,-0.3536314620995906,-0.0556323397745139,0.722204624643652,62.837,114.977,47.697,1.432785503581968,-4.2519992198166605,-3.142046694305034,24.07,49.09,44.39,15053697.7,4675576.1,3737510.4,938065.6,4663661.5,20354160.7,1959.6,2780.4,2058.3,5093.0,0.26,4170351.76,35505.51,504031.19,2
2020-12-01,132,352.0,2.684,6.7,0.09,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000,-0.2355300221207334,0.0330500882785189,0.2033670880768001,62.689,115.015,47.794,1.432785503581968,-4.2519992198166605,-3.142046694305034,24.07,49.09,44.39,15106732.7,4715427.3,3773580.6,941846.6,4650854.4,20531888.1,1974.2,3315.4,2071.6,5206.5,4.17,4184852.49,35826.0,505100.77,2
