"date","laid_off_by_month","funds_raised_by_month","mortgage_rate","unemployment_rate","fed_rate","stock_open","stock_high","stock_low","stock_close","stock_adj_close","stock_volume"
"2020-03-01","7850","15530.2","3.45","4.4","0.65","2974.28","3136.72","2191.86","2584.59","2584.59","162185380000"
"2020-04-01","19821","43862","3.306","14.8","0.05","2498.08","2954.86","2447.49","2912.43","2912.43","123608160000"
"2020-05-01","14674","74191","3.2325","13.2","0.05","2869.09","3068.67","2766.64","3044.31","3044.31","107135190000"
"2020-06-01","3926","11724.1","3.1625","11","0.08","3038.78","3233.13","2965.66","3100.29","3100.29","131458880000"
"2020-07-01","1612","4447","3.016","10.2","0.09","3105.92","3279.99","3101.17","3271.12","3271.12","96928130000"
"2020-08-01","1456","765","2.935","8.4","0.1","3288.26","3514.77","3284.53","3500.31","3500.31","82466520000"
"2020-09-01","567","865.8","2.89","7.8","0.09","3507.44","3588.11","3209.45","3363","3363","92310780000"
"2020-10-01","110","2552.5","2.834","6.8","0.09","3385.87","3549.85","3233.94","3269.96","3269.96","89938980000"
"2020-11-01","237","607.4","2.765","6.7","0.09","3296.2","3645.99","3279.74","3621.63","3621.63","101247180000"
"2020-12-01","132","352","2.684","6.7","0.09","3645.87","3760.2","3633.4","3756.07","3756.07","96375680000"
"2021-01-01","3172","5512","2.735","6.4","0.09","3764.61","3870.9","3662.71","3714.24","3714.24","106117800000"
"2021-02-01","336","1610","2.81","6.2","0.08","3731.17","3950.43","3725.62","3811.15","3811.15","99082320000"
"2021-03-01","47","355","3.0825","6.1","0.07","3842.51","3994.41","3723.34","3972.89","3972.89","122371150000"
"2021-04-01","261","517.5","3.06","6.1","0.07","3992.78","4218.78","3992.78","4181.17","4181.17","83124090000"
"2021-06-01","2434","1600","2.975","5.9","0.08","4216.52","4302.43","4164.4","4297.5","4297.5","102544180000"
"2021-08-01","67","1014","2.8425000000000002","5.1","0.09","4406.86","4537.36","4367.73","4522.68","4522.68","80500760000"
"2021-09-01","161","1632","2.9","4.7","0.08","4528.8","4545.85","4305.91","4307.54","4307.54","85528860000"
"2021-10-01","22","426","3.0675","4.5","0.08","4317.16","4608.08","4278.94","4605.38","4605.38","80253600000"
"2021-11-01","2070","143","3.0675","4.1","0.08","4610.62","4743.83","4560","4567","4567","88268840000"
"2021-12-01","900","1105","3.098","3.9","0.08","4602.82","4808.93","4495.12","4766.18","4766.18","92750180000"
"2022-01-01","510","4201","3.4450000000000003","4","0.08","4778.14","4818.62","4222.62","4515.55","4515.55","95562890000"
"2022-02-01","3285","3834","3.7625","3.8","0.08","4519.57","4595.31","4114.65","4373.94","4373.94","92667710000"
"2022-03-01","4105","8056","4.172","3.6","0.2","4363.14","4637.3","4157.87","4530.41","4530.41","123546260000"
"2022-04-01","1958","132199","4.9825","3.7","0.33","4540.32","4593.45","4124.28","4131.93","4131.93","90367840000"
"2022-05-01","6367","140295","5.2299999999999995","3.6","0.77","4130.61","4307.66","3810.32","4132.15","4132.15","108860390000"
"2022-06-01","9451","179039","5.522","3.6","1.21","4149.78","4177.51","3636.87","3785.38","3785.38","106116710000"
"2022-07-01","8836","56320","5.4125","3.5","1.68","3781","4140.15","3721.56","4130.29","4130.29","81688320000"
"2022-08-01","9800","47451","5.2225","3.6","2.33","4112.38","4325.28","3954.53","3955","3955","92252350000"
"2022-09-01","3396","137693","6.112","3.5","2.56","3936.73","4119.28","3584.13","3585.62","3585.62","94241020000"
"2022-10-01","10446","28690","6.9","3.6","3.08","3609.78","3905.42","3491.58","3871.98","3871.98","95823760000"
"2022-11-01","45938","97908","6.805","3.6","3.78","3901.79","4080.11","3698.15","4080.11","4080.11","92671910000"
"2022-12-01","5803","32441","6.364","3.5","4.1","4087.14","4100.96","3764.49","3839.5","3839.5","85249330000"
"2023-01-01","70059","99960","6.2725","3.4","4.33","3853.29","4094.21","3794.33","4076.6","4076.6","80763810000"
"2023-02-01","24961","70754","6.2575","3.6","4.57","4070.07","4195.44","3943.08","3970.15","3970.15","80392280000"
"2023-03-01","29895","69481","6.544","3.5","4.65","3963.34","4110.75","3808.86","4109.31","4109.31","113094800000"
"2023-04-01","8278","36769","6.342499999999999","3.4","4.83","4102.2","4170.06","4049.35","4169.48","4169.48","70861260000"
"2023-05-01","9254","17848","6.425","3.7","5.06","4166.79","4231.1","4048.28","4179.83","4179.83","88929200000"
"2023-06-01","6477","68053.2","6.714","3.6","5.08","4183.03","4458.48","4171.64","4450.38","4450.38","87983140000"
"2023-07-01","5400","23905","6.84","3.5","5.12","4450.48","4607.07","4385.05","4588.96","4588.96","75063200000"
"2023-08-01","4820","18062","7.072","3.8","5.33","4578.83","4584.62","4335.31","4507.66","4507.66","86840820000"
"2023-09-01","3808","29094","7.2","3.8","5.33","4530.6","4541.25","4238.63","4288.05","4288.05","73482980000"
"2023-10-01","6450","50662","7.62","3.8","5.33","4284.52","4393.57","4103.78","4193.8","4193.8","83519460000"
"2023-11-01","6815","27914.2","7.442","3.7","5.33","4201.27","4587.64","4197.74","4567.8","4567.8","80970570000"
"2023-12-01","3784","42568","6.815","3.7","5.33","4559.43","4793.3","4546.5","4769.83","4769.83","81530670000"
"2024-01-01","21390","64714","6.6425","3.7","5.33","4745.2","4931.09","4682.11","4845.65","4845.65","81737880000"
"2024-02-01","12715","44473.3","6.776000000000001","3.9","5.33","4861.11","5111.06","4853.52","5096.27","5096.27","82066930000"
"2024-03-01","6898","36298","6.82","3.8","5.33","5098.51","5264.85","5056.82","5254.35","5254.35","86299510000"
"2024-04-01","16688","68669","6.9925","3.9","5.33","5257.97","5263.95","4953.56","5035.69","5035.69","81747170000"
"2024-05-01","6581","44281","7.06","4","5.33","5029.03","5341.88","5011.05","5277.51","5277.51","86849720000"
"2024-06-01","4178","15804","6.9175","4.1","5.33","5297.15","5523.64","5234.32","5460.48","5460.48","76025620000"
"2024-07-01","6435","7914","6.8475","4.3","5.33","5471.08","5669.67","5390.95","5522.3","5522.3","80160390000"
"2024-08-01","19335","3488","6.5","4.2","5.33","5537.84","5651.62","5119.26","5648.4","5648.4","81097300000"
