"date","laid_off_by_month","funds_raised_by_month","mortgage_rate","unemployment_rate","fed_rate","stock_open","stock_high","stock_low","stock_close","stock_adj_close","stock_volume","education_and_communication_commodities_inflation","education_and_communication_services_inflation","information_technology_commodities_inflation","education_and_communication_commodities_avg_value","education_and_communication_services_avg_value","information_technology_commodities_avg_value","benefits_inflation","total_compensation_inflation","wages_and_salaries_inflation","benefits_avg_value","total_compensation_avg_value","wages_and_salaries_avg_value"
"2020-03-01","7850","15530.2","3.45","4.4","0.65","2974.28","3136.72","2191.86","2584.59","2584.59","162185380000","0.73809231524673","-0.1457648680165291","0.513463248969015","65.649","113.031","49.722",NULL,NULL,NULL,NULL,NULL,NULL
"2020-04-01","19821","43862","3.306","14.8","0.05","2498.08","2954.86","2447.49","2912.43","2912.43","123608160000","0.3457783058386399","-0.007077704346603","0.1890511242508274","65.876","113.023","49.816","0.5529561888558021","-0.1770956316410887","-0.2418645558487253","23.64","50.73","45.37"
"2020-05-01","14674","74191","3.2325","13.2","0.05","2869.09","3068.67","2766.64","3044.31","3044.31","107135190000","-0.2261825247434568","0.0017695513302662","-0.5058615705797354","65.727","113.025","49.564",NULL,NULL,NULL,NULL,NULL,NULL
"2020-06-01","3926","11724.1","3.1625","11","0.08","3038.78","3233.13","2965.66","3100.29","3100.29","131458880000","-2.0356930941622275","-0.1619110816191149","-0.4640464853522652","64.389","112.842","49.334",NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-01","1612","4447","3.016","10.2","0.09","3105.92","3279.99","3101.17","3271.12","3271.12","96928130000","-0.4628119709888412","1.083816309530139","-0.2249969595005563","64.091","114.065","49.223","0.3807106598984866","1.064458900059151","1.0138858276394158","23.73","51.27","45.83"
"2020-08-01","1456","765","2.935","8.4","0.1","3288.26","3514.77","3284.53","3500.31","3500.31","82466520000","0.2153188435193742","0.4400999430149488","0.0325051297157763","64.229","114.567","49.239",NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-01","567","865.8","2.89","7.8","0.09","3507.44","3588.11","3209.45","3363","3363","92310780000","-1.0400286474956832","0.2321785505424722","-3.0199638497938497","63.561","114.833","47.752",NULL,NULL,NULL,NULL,NULL,NULL
"2020-10-01","110","2552.5","2.834","6.8","0.09","3385.87","3549.85","3233.94","3269.96","3269.96","89938980000","-0.7882191910133507","0.1811326012557401","-0.8313787904171699","63.06","115.041","47.355","1.432785503581968","-4.2519992198166605","-3.142046694305034","24.07","49.09","44.39"
"2020-11-01","237","607.4","2.765","6.7","0.09","3296.2","3645.99","3279.74","3621.63","3621.63","101247180000","-0.3536314620995906","-0.0556323397745139","0.722204624643652","62.837","114.977","47.697",NULL,NULL,NULL,NULL,NULL,NULL
"2020-12-01","132","352","2.684","6.7","0.09","3645.87","3760.2","3633.4","3756.07","3756.07","96375680000","-0.2355300221207334","0.0330500882785189","0.2033670880768001","62.689","115.015","47.794",NULL,NULL,NULL,NULL,NULL,NULL
"2021-01-01","3172","5512","2.735","6.4","0.09","3764.61","3870.9","3662.71","3714.24","3714.24","106117800000","0.1850404377163439","-0.0556449158805483","-0.5481859647654574","62.805","114.951","47.532","0.1661819692563293","2.974129150539806","2.770894345573316","24.11","50.55","45.62"
"2021-02-01","336","1610","2.81","6.2","0.08","3731.17","3950.43","3725.62","3811.15","3811.15","99082320000","0.4904068147440377","0.1670276900592515","-0.4649499284692382","63.113","115.143","47.311",NULL,NULL,NULL,NULL,NULL,NULL
