period,laid_off_by_month,funds_raised_by_month,mortgage_rate,fed_interest_rate,unemployment_rate,stock_open,stock_high,stock_low,stock_close,stock_adj_close,stock_volume
2020/03,7850.0,15530.2,3.45,0.65,4.4,2974.28,3136.72,2191.86,2584.59,2584.59,162185380000.0
2020/04,19821.0,43862.0,3.306,0.05,14.8,2498.08,2954.86,2447.49,2912.43,2912.43,123608160000.0
2020/05,14674.0,74191.0,3.2325,0.05,13.2,2869.09,3068.67,2766.64,3044.31,3044.31,107135190000.0
2020/06,3926.0,11724.1,3.1625,0.08,11.0,3038.78,3233.13,2965.66,3100.29,3100.29,131458880000.0
2020/07,1612.0,4447.0,3.016,0.09,10.2,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000.0
2020/08,1456.0,765.0,2.935,0.1,8.4,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000.0
2020/09,567.0,865.8,2.89,0.09,7.8,3507.44,3588.11,3209.45,3363.0,3363.0,92310780000.0
2020/10,110.0,2552.5,2.834,0.09,6.8,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000.0
2020/11,237.0,607.4,2.765,0.09,6.7,3296.2,3645.99,3279.74,3621.63,3621.63,101247180000.0
2020/12,132.0,352.0,2.684,0.09,6.7,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000.0
2021/01,3172.0,5512.0,2.735,0.09,6.4,3764.61,3870.9,3662.71,3714.24,3714.24,106117800000.0
2021/02,336.0,1610.0,2.81,0.08,6.2,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000.0
2021/03,47.0,355.0,3.0825,0.07,6.1,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000.0
2021/04,261.0,517.5,3.06,0.07,6.1,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000.0
2021/06,2434.0,1600.0,2.975,0.08,5.9,4216.52,4302.43,4164.4,4297.5,4297.5,102544180000.0
2021/08,67.0,1014.0,2.8425,0.09,5.1,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000.0
2021/09,161.0,1632.0,2.9,0.08,4.7,4528.8,4545.85,4305.91,4307.54,4307.54,85528860000.0
2021/10,22.0,426.0,3.0675,0.08,4.5,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000.0
2021/11,2070.0,143.0,3.0675,0.08,4.1,4610.62,4743.83,4560.0,4567.0,4567.0,88268840000.0
2021/12,900.0,1105.0,3.098,0.08,3.9,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000.0
2022/01,510.0,4201.0,3.4450000000000003,0.08,4.0,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000.0
2022/02,3285.0,3834.0,3.7625,0.08,3.8,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000.0
2022/03,4105.0,8056.0,4.172,0.2,3.6,4363.14,4637.3,4157.87,4530.41,4530.41,123546260000.0
2022/04,1958.0,132199.0,4.9825,0.33,3.7,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000.0
2022/05,6367.0,140295.0,5.23,0.77,3.6,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000.0
2022/06,9451.0,179039.0,5.522,1.21,3.6,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000.0
2022/07,8836.0,56320.0,5.4125,1.68,3.5,3781.0,4140.15,3721.56,4130.29,4130.29,81688320000.0
2022/08,9800.0,47451.0,5.2225,2.33,3.6,4112.38,4325.28,3954.53,3955.0,3955.0,92252350000.0
2022/09,3396.0,137693.0,6.112,2.56,3.5,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000.0
2022/10,10446.0,28690.0,6.9,3.08,3.6,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000.0
2022/11,45938.0,97908.0,6.805,3.78,3.6,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000.0
2022/12,5803.0,32441.0,6.364,4.1,3.5,4087.14,4100.96,3764.49,3839.5,3839.5,85249330000.0
